"","lon","lat","surv","dose"
"1",132.119,-11.401,99.414953625535,1.13798671186799
"2",142.319,-11.401,99.4391122462702,3.81931803633566
"3",132.719,-12.001,77.527196065101,20.8197937283054
"4",133.319,-12.001,49.9595853897744,45.8605833357323
"5",133.919,-12.001,66.396074934553,31.3305527876663
"6",142.319,-12.001,88.4160272397501,13.6225185990273
"7",142.919,-12.001,77.2853085365698,24.3199835108608
"8",131.519,-12.601,77.4326418327836,22.0659411614807
"9",132.119,-12.601,61.8241687200818,37.4262387789856
"10",132.719,-12.601,55.232492233971,43.0480440370437
"11",133.319,-12.601,88.5508157918202,12.3486884580728
"12",133.919,-12.601,88.714126475387,10.1043591644878
"13",134.519,-12.601,32.8641602696777,64.3958551692909
"14",135.119,-12.601,32.8119983414595,64.4849479780536
"15",136.319,-12.601,77.6679122113271,18.0463770135493
"16",142.319,-12.601,79.90840542692,18.2509176599084
"17",142.919,-12.601,77.1872106804985,26.0188698558326
"18",130.319,-13.201,88.2907245692815,13.1450634365563
"19",130.919,-13.201,77.5988405596488,19.7614994170183
"20",131.519,-13.201,77.2751821761152,24.7537085776623
"21",132.119,-13.201,77.2940429365117,24.3448253739428
"22",132.719,-13.201,29.963906886194,65.3137291434052
"23",133.319,-13.201,66.0907838063419,35.574789299847
"24",133.919,-13.201,66.2761190757921,33.2886110399114
"25",134.519,-13.201,21.8723317677926,72.9175522310216
"26",135.119,-13.201,21.7348219917451,74.4076210334798
"27",141.719,-13.201,88.2247967914088,16.3806568207817
"28",142.319,-13.201,77.2260463264266,25.3142752097507
"29",142.919,-13.201,61.8677660718739,37.4753638988386
"30",130.319,-13.801,49.7341852707861,48.1060731436304
"31",130.919,-13.801,49.7184496298255,49.5316146917899
"32",131.519,-13.801,77.200855758151,25.8963131714128
"33",132.119,-13.801,88.6822094899833,10.4034986190314
"34",132.719,-13.801,66.5786600264046,29.4452395028256
"35",133.319,-13.801,77.566038812235,20.7374711628872
"36",133.919,-13.801,21.9081249059957,72.5392716546304
"37",134.519,-13.801,0,100
"38",135.119,-13.801,0,100
"39",141.719,-13.801,77.4572814946256,21.9521268033169
"40",142.319,-13.801,44.0372600785404,54.6015407120707
"41",142.919,-13.801,9.99678836551244,94.6069240501692
"42",143.519,-13.801,0,100
"43",126.119,-14.401,88.3010712845353,15.5408609051606
"44",126.719,-14.401,21.948690582386,72.1699331120892
"45",127.319,-14.401,66.2212450863635,34.3086993908363
"46",129.719,-14.401,61.8705666185819,35.402249628704
"47",130.319,-14.401,86.7329985048905,16.7673433510114
"48",130.919,-14.401,55.2515861896223,42.7385427894193
"49",131.519,-14.401,66.0680617910039,35.8231965626804
"50",132.119,-14.401,36.7114835856926,59.9602202788431
"51",132.719,-14.401,55.3205870951353,41.8271392310017
"52",133.319,-14.401,61.8210780418454,37.8234889726027
"53",133.919,-14.401,0,100
"54",134.519,-14.401,0,100
"55",135.119,-14.401,0,100
"56",141.719,-14.401,79.9675318228818,17.4859001172826
"57",142.319,-14.401,66.305219023053,32.766435818869
"58",142.919,-14.401,39.9229872198221,57.0747906206359
"59",143.519,-14.401,10.5791273348664,92.8620742027801
"60",125.519,-15.001,55.4843782468694,39.508906743624
"61",126.119,-15.001,88.2527855151359,16.6681787406591
"62",126.719,-15.001,99.5181446930567,3.86417376381437
"63",127.319,-15.001,69.8684921886426,28.7087770871263
"64",127.919,-15.001,77.4194216666072,22.5277482510979
"65",128.519,-15.001,9.93453111922775,95.0823305166424
"66",129.119,-15.001,43.9081241122371,54.4282563840631
"67",129.719,-15.001,49.7663652273346,48.008254850738
"68",130.319,-15.001,77.6871269780546,18.1804858309785
"69",130.919,-15.001,0,100
"70",131.519,-15.001,36.7406658699501,59.4827461074145
"71",132.119,-15.001,55.2381487211947,43.1839980837673
"72",132.719,-15.001,55.1430592107152,44.746190644132
"73",133.319,-15.001,0,98.8000396711099
"74",133.919,-15.001,0,100
"75",134.519,-15.001,0,100
"76",135.119,-15.001,0,100
"77",141.719,-15.001,88.5414682095215,12.1005964516575
"78",142.319,-15.001,77.382614532549,23.3457596116638
"79",142.919,-15.001,66.217899578673,34.304220405722
"80",143.519,-15.001,0,100
"81",144.119,-15.001,36.8918097765973,58.4005978768108
"82",144.719,-15.001,49.9919626624416,46.5652028603697
"83",145.319,-15.001,99.370252553125,6.10986670410851
"84",124.919,-15.601,77.1743348715553,25.6547069125357
"85",125.519,-15.601,88.8176741185412,8.64188440196268
"86",126.119,-15.601,88.5334304656098,12.7734146275266
"87",126.719,-15.601,66.4147246116856,31.6952221928409
"88",127.319,-15.601,33.1898511794403,61.0819082142108
"89",128.519,-15.601,0,100
"90",129.119,-15.601,0,100
"91",129.719,-15.601,77.3860352855112,22.6859447876448
"92",130.319,-15.601,0,100
"93",130.919,-15.601,0,100
"94",131.519,-15.601,0,98.8000144886196
"95",132.119,-15.601,29.9400916941702,66.2627083245699
"96",132.719,-15.601,29.9189532258253,66.5920606960197
"97",133.319,-15.601,24.3625687443478,68.9606359899165
"98",133.919,-15.601,11.8837939740564,79.2516644095894
"99",134.519,-15.601,0,100
"100",135.119,-15.601,0,100
"101",135.719,-15.601,0,100
"102",141.719,-15.601,88.2244219821515,16.3595631833182
"103",142.319,-15.601,66.5692088312357,29.4362299430194
"104",142.919,-15.601,44.4681032878017,50.484998659797
"105",143.519,-15.601,74.2791761587666,27.9616292248472
"106",144.119,-15.601,10.8186943942003,86.4592654320803
"107",144.719,-15.601,59.8813022599053,38.8802176645766
"108",124.919,-16.201,55.337595522844,41.5582930332036
"109",125.519,-16.201,88.2166217473247,16.7927419576455
"110",126.119,-16.201,99.2035223688527,7.66720228918679
"111",126.719,-16.201,86.7616335130158,17.680486193487
"112",127.319,-16.201,88.3559897543809,15.3825368679308
"113",127.919,-16.201,86.7594883643322,17.6048320897389
"114",128.519,-16.201,88.2736721837958,16.3143408638911
"115",129.119,-16.201,0,100
"116",129.719,-16.201,0,100
"117",130.319,-16.201,0,100
"118",130.919,-16.201,0,100
"119",131.519,-16.201,0,100
"120",132.119,-16.201,29.9480902747776,66.2540446161555
"121",132.719,-16.201,33.0926657960783,61.6371363430078
"122",133.319,-16.201,21.738050346571,74.8757595656359
"123",133.919,-16.201,36.6051128952946,61.0837915015022
"124",134.519,-16.201,10.6950044778898,89.8744081629642
"125",135.119,-16.201,9.99775882378792,94.5904125235715
"126",135.719,-16.201,0,100
"127",136.319,-16.201,0,100
"128",136.919,-16.201,39.8998689179048,56.5900080635152
"129",137.519,-16.201,66.3685764453781,31.5857142478723
"130",141.719,-16.201,77.3762314832237,23.0821651461144
"131",142.319,-16.201,66.0373847522584,36.0576072074149
"132",142.919,-16.201,36.8460972410725,58.7171135625559
"133",143.519,-16.201,33.0904741670163,61.6365180921343
"134",144.119,-16.201,88.3693256271017,15.041152446287
"135",144.719,-16.201,88.5665958108291,12.4891992406856
"136",145.319,-16.201,77.5985578777231,20.6046039272268
"137",124.319,-16.801,0,100
"138",124.919,-16.801,0,100
"139",125.519,-16.801,36.7597610126443,59.6761133924242
"140",126.119,-16.801,77.3743209712467,23.4345286594638
"141",126.719,-16.801,77.2165036766328,25.9530636639371
"142",127.319,-16.801,66.2476572253,34.0297131452969
"143",127.919,-16.801,55.1619744056581,44.9041285476812
"144",128.519,-16.801,0,100
"145",129.119,-16.801,0,100
"146",129.719,-16.801,0,100
"147",130.319,-16.801,0,100
"148",130.919,-16.801,0,100
"149",131.519,-16.801,9.97332477419728,94.9609475260948
"150",132.119,-16.801,10.8645382701483,85.1607618620021
"151",132.719,-16.801,36.8584378069785,58.7077675518629
"152",133.319,-16.801,29.8600370839671,67.4858315716887
"153",133.919,-16.801,11.8514871944518,79.6315484441567
"154",134.519,-16.801,29.8531226943545,67.7377467535644
"155",135.119,-16.801,0,100
"156",135.719,-16.801,0,100
"157",136.319,-16.801,0,100
"158",136.919,-16.801,49.7288506934025,49.4967393385624
"159",137.519,-16.801,77.2399856698401,24.9402604555997
"160",138.119,-16.801,79.966834727984,17.5070563773675
"161",141.719,-16.801,66.1976751651133,34.2027319661779
"162",142.319,-16.801,55.3258988587565,41.8394202234363
"163",142.919,-16.801,44.0476364812813,54.5933505884788
"164",143.519,-16.801,44.1033303442276,54.0286774858929
"165",144.119,-16.801,66.2205401763363,34.3027964308662
"166",144.719,-16.801,0,100
"167",145.319,-16.801,89.9019430561622,8.2581597429091
"168",122.519,-17.401,0,100
"169",123.119,-17.401,0,100
"170",123.719,-17.401,0,100
"171",124.319,-17.401,0,100
"172",124.919,-17.401,0,100
"173",125.519,-17.401,0,100
"174",126.119,-17.401,0,100
"175",126.719,-17.401,77.4800297632569,22.2696911206864
"176",127.319,-17.401,77.5659134716415,21.1029049182382
"177",127.919,-17.401,36.7570486598971,60.0851190997609
"178",128.519,-17.401,0,100
"179",129.119,-17.401,0,100
"180",129.719,-17.401,0,100
"181",130.319,-17.401,0,99.3685566638205
"182",130.919,-17.401,0,100
"183",131.519,-17.401,0,100
"184",132.119,-17.401,0,100
"185",132.719,-17.401,0,100
"186",133.319,-17.401,0,100
"187",133.919,-17.401,10.767967967074,88.034781317572
"188",134.519,-17.401,10.7597496605714,87.9791757111724
"189",135.119,-17.401,24.2499573449157,70.2802610854655
"190",135.719,-17.401,33.1956246684626,60.8418075843758
"191",136.319,-17.401,49.8576831296132,48.1509058673979
"192",136.919,-17.401,66.0777419671116,35.8479038050671
"193",137.519,-17.401,74.3281398997469,27.311476252595
"194",138.119,-17.401,66.595564579102,29.0469145784559
"195",138.719,-17.401,88.2714171425312,15.4433467239379
"196",139.319,-17.401,88.6204333486634,9.66878103512271
"197",141.119,-17.401,44.2561977317002,52.1287186212974
"198",141.719,-17.401,49.8551150618476,48.1332800877729
"199",142.319,-17.401,55.2047615631825,43.8472579704645
"200",142.919,-17.401,55.2078722631115,43.8445016544449
"201",143.519,-17.401,55.1694981459698,44.5736945766471
"202",144.119,-17.401,88.2046609319636,17.2665940409768
"203",144.719,-17.401,88.5448657825539,12.8206387333994
"204",145.319,-17.401,99.9074242791229,0
"205",145.919,-17.401,88.3885110572964,14.3374524796086
"206",122.519,-18.001,0,100
"207",123.119,-18.001,0,100
"208",123.719,-18.001,0,100
"209",124.319,-18.001,0,100
"210",124.919,-18.001,0,100
"211",125.519,-18.001,0,100
"212",126.119,-18.001,0,100
"213",126.719,-18.001,0,100
"214",127.319,-18.001,0,100
"215",127.919,-18.001,10.9588813835362,82.9845953388679
"216",128.519,-18.001,0,98.996973671412
"217",129.119,-18.001,0,100
"218",129.719,-18.001,0,100
"219",130.319,-18.001,0,100
"220",130.919,-18.001,0,100
"221",131.519,-18.001,0,100
"222",132.119,-18.001,0,100
"223",132.719,-18.001,0,100
"224",133.319,-18.001,0,100
"225",133.919,-18.001,0,100
"226",134.519,-18.001,11.631038944901,81.8420138527161
"227",135.119,-18.001,11.9915983939855,78.3670240548401
"228",135.719,-18.001,33.1425157864769,61.3467977026155
"229",136.319,-18.001,55.1492080416254,44.7445011056399
"230",136.919,-18.001,77.1278345636837,26.5720308660988
"231",137.519,-18.001,66.0782718396854,35.82385604405
"232",138.119,-18.001,32.8237360141545,64.8349604912105
"233",138.719,-18.001,55.2088481002646,43.376723702382
"234",139.319,-18.001,66.434535761134,30.2969346160228
"235",139.919,-18.001,77.4990680982958,21.348780619136
"236",140.519,-18.001,59.8303424319498,38.8378134465841
"237",141.119,-18.001,32.968705984841,63.1319003775512
"238",141.719,-18.001,36.8902587686434,58.383745052124
"239",142.319,-18.001,66.5135309589385,30.2469912559038
"240",142.919,-18.001,74.3991353691902,26.6639985829494
"241",143.519,-18.001,66.1501685139139,35.1180990232065
"242",144.119,-18.001,99.4072721248788,5.66196686333033
"243",144.719,-18.001,99.7183585062301,0
"244",145.319,-18.001,99.8998396107456,0
"245",145.919,-18.001,88.631463986058,11.0872415828065
"246",121.919,-18.601,0,100
"247",122.519,-18.601,0,100
"248",123.119,-18.601,0,100
"249",123.719,-18.601,0,100
"250",124.319,-18.601,0,100
"251",125.519,-18.601,0,100
"252",126.119,-18.601,0,100
"253",126.719,-18.601,0,100
"254",127.319,-18.601,0,100
"255",127.919,-18.601,0,100
"256",128.519,-18.601,0,100
"257",129.119,-18.601,0,100
"258",129.719,-18.601,0,100
"259",130.319,-18.601,0,100
"260",130.919,-18.601,0,100
"261",131.519,-18.601,0,100
"262",132.119,-18.601,0,100
"263",132.719,-18.601,0,100
"264",133.319,-18.601,0,100
"265",133.919,-18.601,10.7776655163203,87.738037376024
"266",134.519,-18.601,9.9276850228492,96.5621990852116
"267",135.119,-18.601,10.8643229900079,85.1603510333644
"268",135.719,-18.601,21.9114768480502,72.5365639412149
"269",136.319,-18.601,55.2078555499774,43.8451045966922
"270",136.919,-18.601,61.8468759931851,37.6344952846428
"271",137.519,-18.601,29.8822809858815,67.1559448002374
"272",138.119,-18.601,0,100
"273",138.719,-18.601,0,100
"274",139.319,-18.601,0,100
"275",139.919,-18.601,49.9992903607203,45.4989118693899
"276",140.519,-18.601,66.331299229366,32.5867876560238
"277",141.119,-18.601,44.1696037657943,53.3046983446049
"278",141.719,-18.601,39.9207219088677,57.0541360646271
"279",142.319,-18.601,55.2944051061669,42.6469626283749
"280",142.919,-18.601,61.8342098683464,37.8644961846324
"281",143.519,-18.601,66.1750096628981,34.9898724536533
"282",144.119,-18.601,79.8162065138524,19.0889802414979
"283",144.719,-18.601,99.4537193056301,5.09228537569268
"284",145.319,-18.601,99.6064727747661,2.36975742857204
"285",145.919,-18.601,10.8657589001847,85.1636563953534
"286",123.119,-19.201,0,100
"287",126.119,-19.201,0,100
"288",126.719,-19.201,0,100
"289",127.319,-19.201,0,100
"290",127.919,-19.201,0,100
"291",128.519,-19.201,0,100
"292",129.119,-19.201,0,100
"293",129.719,-19.201,0,100
"294",130.319,-19.201,0,100
"295",130.919,-19.201,0,100
"296",131.519,-19.201,0,100
"297",132.119,-19.201,0,100
"298",132.719,-19.201,0,100
"299",133.319,-19.201,0,100
"300",133.919,-19.201,0,100
"301",134.519,-19.201,0,100
"302",135.119,-19.201,0,100
"303",135.719,-19.201,9.98025097375451,94.9192327267008
"304",136.319,-19.201,0,100
"305",136.919,-19.201,0,100
"306",137.519,-19.201,9.81136927059115,98.3496485000099
"307",138.119,-19.201,0,100
"308",138.719,-19.201,29.8568729933431,67.4853945009883
"309",139.319,-19.201,0,100
"310",139.919,-19.201,10.5336349430713,93.115049509771
"311",140.519,-19.201,11.7392838036452,80.508596221889
"312",141.119,-19.201,32.8840401240143,64.5651227046156
"313",141.719,-19.201,33.1553032953548,61.445982428643
"314",142.319,-19.201,44.2305873802614,52.987594721384
"315",142.919,-19.201,55.3086019488412,42.5827951467629
"316",143.519,-19.201,86.7741231338404,17.6704143267494
"317",144.119,-19.201,99.5369579646753,3.93971257914453
"318",144.719,-19.201,77.2684691941708,25.3800386204799
"319",145.319,-19.201,74.3915540273489,27.2458458641533
"320",145.919,-19.201,59.8031607933221,39.6788222598736
"321",146.519,-19.201,0,100
"322",126.119,-19.801,0,100
"323",126.719,-19.801,0,100
"324",127.319,-19.801,0,100
"325",127.919,-19.801,0,100
"326",128.519,-19.801,0,100
"327",129.119,-19.801,0,100
"328",129.719,-19.801,0,100
"329",130.319,-19.801,0,100
"330",130.919,-19.801,0,100
"331",131.519,-19.801,0,100
"332",132.119,-19.801,0,100
"333",132.719,-19.801,10.7087076756457,89.5224418966203
"334",133.319,-19.801,0,100
"335",133.919,-19.801,0,100
"336",134.519,-19.801,0,100
"337",135.119,-19.801,0,100
"338",135.719,-19.801,0,100
"339",136.319,-19.801,0,100
"340",136.919,-19.801,0,100
"341",137.519,-19.801,0,100
"342",138.119,-19.801,0,100
"343",138.719,-19.801,11.841437377429,79.6612733965638
"344",139.319,-19.801,59.8542209625666,38.6157042677037
"345",139.919,-19.801,0,99.1962103463211
"346",140.519,-19.801,0,100
"347",141.119,-19.801,0,100
"348",141.719,-19.801,0,100
"349",142.319,-19.801,10.8885189107757,84.9383685576112
"350",142.919,-19.801,39.9404067751927,57.1879201555218
"351",143.519,-19.801,88.7902797630433,9.63164009253955
"352",144.119,-19.801,99.4080138111037,6.07321263186382
"353",144.719,-19.801,79.849571900081,19.1828945589346
"354",145.319,-19.801,77.6395199024322,20.378522064293
"355",145.919,-19.801,32.8657069151707,65.1644938857715
"356",146.519,-19.801,55.387159253222,40.9727869419293
"357",147.119,-19.801,39.9405643173722,56.2190162582373
"358",126.719,-20.401,0,100
"359",127.319,-20.401,0,100
"360",127.919,-20.401,0,100
"361",128.519,-20.401,0,100
"362",129.119,-20.401,0,100
"363",129.719,-20.401,0,100
"364",130.319,-20.401,0,100
"365",130.919,-20.401,0,100
"366",131.519,-20.401,0,100
"367",132.119,-20.401,0,100
"368",132.719,-20.401,0,100
"369",133.319,-20.401,0,100
"370",133.919,-20.401,0,100
"371",134.519,-20.401,19.9890888260362,75.7869992724167
"372",135.119,-20.401,0,100
"373",135.719,-20.401,0,100
"374",136.319,-20.401,0,100
"375",136.919,-20.401,0,100
"376",137.519,-20.401,0,100
"377",138.119,-20.401,0,100
"378",138.719,-20.401,0,100
"379",139.319,-20.401,0,100
"380",139.919,-20.401,0,100
"381",140.519,-20.401,0,100
"382",141.119,-20.401,0,100
"383",141.719,-20.401,0,100
"384",142.319,-20.401,0,100
"385",142.919,-20.401,10.5899885955648,93.0452409731151
"386",143.519,-20.401,10.6755972342534,90.7872351794807
"387",144.119,-20.401,77.5630522788775,21.4218418054765
"388",144.719,-20.401,29.837681157676,68.3171518443791
"389",145.319,-20.401,55.17663180786,44.8960946888123
"390",145.919,-20.401,0,100
"391",146.519,-20.401,0,99.9414689334281
"392",147.119,-20.401,61.9947055357606,36.8812027898637
"393",147.719,-20.401,0,100
"394",148.319,-20.401,10.5851452881316,92.3294117048113
"395",125.519,-21.001,0,100
"396",126.119,-21.001,0,100
"397",126.719,-21.001,0,100
"398",127.319,-21.001,0,100
"399",127.919,-21.001,0,100
"400",128.519,-21.001,0,100
"401",129.119,-21.001,0,100
"402",129.719,-21.001,0,100
"403",130.319,-21.001,0,100
"404",130.919,-21.001,0,100
"405",131.519,-21.001,0,100
"406",132.119,-21.001,0,100
"407",132.719,-21.001,0,100
"408",133.319,-21.001,0,100
"409",133.919,-21.001,0,100
"410",134.519,-21.001,0,100
"411",135.119,-21.001,0,100
"412",135.719,-21.001,0,100
"413",136.319,-21.001,0,100
"414",136.919,-21.001,0,100
"415",137.519,-21.001,0,100
"416",138.119,-21.001,0,100
"417",138.719,-21.001,0,100
"418",139.319,-21.001,0,100
"419",139.919,-21.001,10.9882663482612,82.2152434750323
"420",140.519,-21.001,0,100
"421",141.119,-21.001,0,100
"422",141.719,-21.001,0,100
"423",142.319,-21.001,0,100
"424",142.919,-21.001,0,100
"425",143.519,-21.001,0,100
"426",144.119,-21.001,0,100
"427",144.719,-21.001,19.8143218300204,78.8701306761859
"428",145.319,-21.001,55.3101963116351,42.5836286899674
"429",145.919,-21.001,0,100
"430",146.519,-21.001,19.9812377255541,76.0263876272506
"431",147.119,-21.001,21.7355579652937,75.1171815956826
"432",147.719,-21.001,44.1032732527529,54.2808658206581
"433",148.319,-21.001,99.9590410785243,0
"434",148.919,-21.001,77.6719477013154,19.1170106642035
"435",125.519,-21.601,0,100
"436",126.119,-21.601,0,100
"437",126.719,-21.601,0,100
"438",127.319,-21.601,0,100
"439",127.919,-21.601,0,100
"440",128.519,-21.601,0,100
"441",129.119,-21.601,0,100
"442",129.719,-21.601,0,100
"443",130.319,-21.601,0,100
"444",130.919,-21.601,0,100
"445",131.519,-21.601,0,100
"446",132.119,-21.601,0,100
"447",132.719,-21.601,0,100
"448",133.319,-21.601,0,100
"449",133.919,-21.601,0,100
"450",134.519,-21.601,10.5350486662787,93.9449839498554
"451",135.119,-21.601,0,100
"452",135.719,-21.601,0,100
"453",136.319,-21.601,0,100
"454",136.919,-21.601,0,100
"455",137.519,-21.601,0,100
"456",138.119,-21.601,0,100
"457",138.719,-21.601,0,100
"458",139.319,-21.601,0,100
"459",139.919,-21.601,0,100
"460",140.519,-21.601,0,100
"461",141.119,-21.601,0,100
"462",141.719,-21.601,0,100
"463",142.319,-21.601,0,100
"464",142.919,-21.601,0,100
"465",143.519,-21.601,0,100
"466",144.119,-21.601,0,100
"467",144.719,-21.601,0,100
"468",145.319,-21.601,0,100
"469",146.519,-21.601,10.8242331257063,86.4453088162122
"470",147.119,-21.601,44.3662588170089,51.3527632083507
"471",147.719,-21.601,88.7862595405436,9.26299563372363
"472",148.319,-21.601,99.5750272605693,2.77239961381821
"473",148.919,-21.601,88.6697080758922,10.4809011180668
"474",117.119,-22.201,0,100
"475",124.319,-22.201,0,100
"476",124.919,-22.201,0,100
"477",125.519,-22.201,0,100
"478",126.119,-22.201,0,100
"479",126.719,-22.201,0,100
"480",127.319,-22.201,0,100
"481",127.919,-22.201,0,100
"482",128.519,-22.201,0,100
"483",129.119,-22.201,0,100
"484",129.719,-22.201,0,100
"485",130.319,-22.201,0,100
"486",130.919,-22.201,0,100
"487",131.519,-22.201,0,100
"488",132.119,-22.201,19.9672115429114,76.2855776241312
"489",132.719,-22.201,21.9826758101569,71.8874031556715
"490",133.319,-22.201,10.5188434591774,94.0890204261432
"491",133.919,-22.201,0,100
"492",134.519,-22.201,0,100
"493",135.119,-22.201,0,100
"494",135.719,-22.201,0,100
"495",136.319,-22.201,0,100
"496",136.919,-22.201,0,100
"497",137.519,-22.201,0,100
"498",138.119,-22.201,0,100
"499",138.719,-22.201,0,100
"500",139.319,-22.201,0,100
"501",139.919,-22.201,0,100
"502",140.519,-22.201,0,100
"503",141.119,-22.201,0,100
"504",141.719,-22.201,0,100
"505",142.319,-22.201,0,100
"506",142.919,-22.201,0,100
"507",143.519,-22.201,0,100
"508",144.119,-22.201,0,100
"509",144.719,-22.201,0,100
"510",145.319,-22.201,0,100
"511",145.919,-22.201,0,100
"512",146.519,-22.201,0,100
"513",147.119,-22.201,55.2982696604752,42.6242999740234
"514",147.719,-22.201,88.2535738445915,16.667766136505
"515",148.319,-22.201,88.8759209555396,8.42891701283059
"516",148.919,-22.201,88.677004360515,10.3907902986954
"517",149.519,-22.201,99.331192525835,5.87060328486611
"518",124.319,-22.801,0,100
"519",124.919,-22.801,0,100
"520",125.519,-22.801,0,100
"521",126.119,-22.801,0,100
"522",126.719,-22.801,0,100
"523",127.319,-22.801,0,100
"524",127.919,-22.801,0,100
"525",128.519,-22.801,0,100
"526",129.119,-22.801,0,100
"527",129.719,-22.801,0,100
"528",130.319,-22.801,0,100
"529",130.919,-22.801,0,100
"530",131.519,-22.801,0,100
"531",132.119,-22.801,0,100
"532",132.719,-22.801,0,100
"533",133.319,-22.801,24.2257605093318,71.0101646758631
"534",133.919,-22.801,11.735795379687,81.4042797443794
"535",134.519,-22.801,10.6183752137389,92.2973435322487
"536",135.119,-22.801,0,100
"537",135.719,-22.801,0,100
"538",136.319,-22.801,0,100
"539",136.919,-22.801,0,100
"540",137.519,-22.801,0,100
"541",138.119,-22.801,0,100
"542",138.719,-22.801,0,100
"543",139.319,-22.801,0,100
"544",139.919,-22.801,0,100
"545",140.519,-22.801,0,100
"546",141.119,-22.801,0,100
"547",141.719,-22.801,0,100
"548",142.319,-22.801,0,100
"549",142.919,-22.801,0,100
"550",143.519,-22.801,0,100
"551",144.119,-22.801,0,100
"552",144.719,-22.801,0,100
"553",145.319,-22.801,0,100
"554",145.919,-22.801,0,100
"555",146.519,-22.801,0,100
"556",147.119,-22.801,24.2212381046619,71.0012060205098
"557",147.719,-22.801,55.1035090995162,45.8958239171978
"558",148.319,-22.801,44.1042990493239,54.2600343252476
"559",148.919,-22.801,88.3474744716398,15.128947994771
"560",149.519,-22.801,88.2034398549842,16.8276369715964
"561",150.119,-22.801,99.3340553290018,5.84846991393648
"562",150.719,-22.801,99.814942230659,0
"563",126.119,-23.401,0,100
"564",126.719,-23.401,0,100
"565",127.319,-23.401,0,100
"566",127.919,-23.401,0,100
"567",128.519,-23.401,0,100
"568",129.119,-23.401,0,100
"569",129.719,-23.401,0,100
"570",130.319,-23.401,0,100
"571",130.919,-23.401,0,100
"572",131.519,-23.401,24.2416445845411,70.968458251429
"573",132.119,-23.401,0,100
"574",132.719,-23.401,0,99.1176287682657
"575",133.319,-23.401,0,100
"576",133.919,-23.401,44.2964620106448,52.469831655957
"577",134.519,-23.401,0,100
"578",135.119,-23.401,0,100
"579",135.719,-23.401,0,100
"580",136.319,-23.401,0,100
"581",136.919,-23.401,0,100
"582",137.519,-23.401,0,100
"583",138.119,-23.401,0,100
"584",138.719,-23.401,0,100
"585",139.319,-23.401,0,100
"586",139.919,-23.401,0,100
"587",140.519,-23.401,0,100
"588",141.119,-23.401,0,100
"589",141.719,-23.401,0,100
"590",142.319,-23.401,0,100
"591",142.919,-23.401,0,100
"592",143.519,-23.401,0,100
